Feature,Importance
Curricular units 2nd sem (grade),0.25268994589128385
Curricular units 1st sem (approved),0.2512984515112066
Curricular units 1st sem (grade),0.15973243531821224
Age at enrollment,0.08076821584172937
Tuition fees up to date,0.07739897431880399
Curricular units 1st sem (enrolled),0.058465437296289995
Application mode,0.04466976016162482
Scholarship holder,0.030416078721647182
Gender,0.022513669033229995
Debtor,0.022047031905971935
