Feature,Importance
Curricular units 2nd sem (grade),0.2630472954508687
Curricular units 1st sem (approved),0.24691810992218527
Curricular units 1st sem (grade),0.17090263468455266
Age at enrollment,0.08516064772121647
Tuition fees up to date,0.07611193230759711
Curricular units 1st sem (enrolled),0.06372750156175386
Scholarship holder,0.03264055032401455
Debtor,0.022992485280644136
Gender,0.022345910507050686
Displaced,0.016152932240116616
